numero_colombia,nombre_colombia,codigo_cie10_colombia,codigo_cie10_formateado,encontrado,nivel_confianza,orpha_number,nombre_orphanet,codigos_cie10_orphanet,similitud,observaciones_colombia
883,Epidermólisis ampollosa hereditaria,Q818,Q81.8,True,Alta,,Epidermólisis ampollosa hereditaria,,100,
884,Epidermólisis ampollosa juntural,Q818,Q81.8,True,Alta,,Epidermólisis ampollosa juntural,,100,
886,Epilepsia demencia amelogénesis imperfecta,G408,G40.8,True,Alta,,Amelogénesis imperfecta,K00.5,100,
887,Epilepsia microcefalia displasia esquelética,Q878,Q87.8,True,Alta,,Síndrome de epilepsia-microcefalia-displasia esquelética,Q87.8,100,Código corregido de 0878 a Q878
888,Epilepsia mioclónica de la infancia,G403,G40.3,True,Alta,,Síndrome de Dravet,G40.4,100,
889,"Eritermalgia, primaria",I738,I73.8,True,Alta,,Eritromelalgia primaria,I73.8,100,
890,Eritrodermia congénita ictiosiforme ampollosa,Q802,Q80.2,True,Alta,,Ictiosis epidermolítica autosómica dominante,Q80.3,100,
891,Eritrodermia congénita letal,Q828,Q82.8,True,Alta,,Eritrodermia congénita letal,Q82.8,100,
892,Eritroqueratodermia ataxia,G111,G11.1,True,Alta,,Ataxia espinocerebelosa tipo 34,G11.1,100,
893,Eritroqueratodermia variable de Mendes da Costa,Q828,Q82.8,True,Alta,,Eritroqueratodermia variable,Q82.8,100,
894,Erliquiosis,A488,A48.8,True,Alta,,Erliquiosis,A48.8,100,
895,Escafocefalia aislada,Q750,Q75.0,True,Alta,,Craneosinostosis sagital no sindrómica,Q75.0,100,Código corregido de 0750 a Q750
897,Esclerosis lateral amiotrófica,G122,G12.2,True,Alta,,Esclerosis lateral amiotrófica,G12.2,100,
898,Esclerosis lateral primaria,G122,G12.2,True,Alta,,Esclerosis lateral primaria,G12.2,100,
899,Esclerosis Múltiple,G35X,G35X,True,Alta,,NO ES ENFERMEDAD RARA EN EUROPA: Esclerosis múltiple,G35,100,
900,Esclerosis múltiple - ictiosis - deficiencia del factor VIII,G378,G37.8,True,Alta,,Síndrome de esclerosis múltiple-ictiosis-deficiencia del factor VIII,G37.8,100,
901,Esclerosis sistémica cutánea difusa,M340,M34.0,True,Alta,,Esclerosis sistémica cutánea difusa,M34.0,100,
902,Esclerosis sistémica cutánea limitada,L940,L94.0,True,Alta,,Esclerosis sistémica cutánea limitada,M34.1,100,
903,Esclerosis tuberosa,Q851,Q85.1,True,Alta,,Complejo esclerosis tuberosa,Q85.1,100,Código corregido de 0851 a Q851
904,Esferocitosis hereditaria,D580,D58.0,True,Alta,,Esferocitosis hereditaria,D58.0,100,
906,Espino cerebelosa Degeneración distrofia corneal,G111,G11.1,True,Alta,,Distrofia corneal,H18.5,100,
907,Espondyloenchondro-displasia con desrequlación inmune (SPENCD),Q777,Q77.7,True,Alta,,Espondiloencondrodisplasia,Q77.7,100,Código corregido de 0777 a Q777
913,Estenosis pulmonar valvular,Q221,Q22.1,True,Alta,,Estenosis valvular pulmonar congénita,Q22.1,100,Código corregido de 0221 a Q221
915,Estesioneuroblastoma,C300,C30.0,True,Alta,,Estesioneuroblastoma,C30.0,100,
916,Estomatocitosis hereditaria con hematies hiperhidratados,D588,D58.8,True,Alta,,Estomatocitosis hereditaria,,100,
917,Fallo autonómico puro,G903,G90.3,True,Alta,,Fallo autonómico puro,G90.8,100,
919,Fémur bífido ectrodactilia monodactilia,Q748,Q74.8,True,Alta,,Malformación aislada de mano hendida-pie hendido,Q74.8,100,
920,Fenilcetonuria,E700,E70.0,True,Alta,,Fenilcetonuria,"E70.0, E70.1",100,
922,Fibrocondrogénesis,Q777,Q77.7,True,Alta,,Fibrocondrogénesis,Q77.7,100,
924,Fibrofoliculomas múltiples familiares,D239,D23.9,True,Alta,,Fibrofoliculomas múltiples familiares,,100,
927,Fibromatosis hialina juvenil,M728,M72.8,True,Alta,,Fibromatosis hialina juvenil,M72.8,100,
928,Fibrosis pulmonar - hiperplasia hepática - hipoplasia de médula ósea,XXXX,XXXX,True,Alta,,Síndrome de fibrosis pulmonar-hiperplasia hepática-hipoplasia de médula ósea,J84.1,100,
929,Fibrosis pulmonar - inmunodeficiencia - disgenesia gonadal,D828,D82.8,True,Alta,,"Síndrome de fibrosis pulmonar-inmunodeficiencia-disgenesia gonadal 46,XX",D82.8,100,
930,Fibrosis pulmonar idiopática,J841,J84.1,True,Alta,,Fibrosis pulmonar idiopática,J84.1,100,
932,Fiebre botonosa,A771,A77.1,True,Alta,,Fiebre botonosa,A77.1,100,
933,Fiebre mediterránea familiar,E850,E85.0,True,Alta,,Fiebre mediterránea familiar,E85.0,100,
934,Fiebre reumática,I00X,I00X,True,Alta,,Fiebre reumática,"I00, I01.0, I01.1, I01.2, I01.8, I01.9",100,
938,Fisura labiopalatina malrotación cardiopatia,Q878,Q87.8,True,Alta,,Fisura labiopalatina,"Q37.0, Q37.4, Q37.5, Q37.8, Q37.9, Q37.1, Q37.2, Q37.3",100,
944,Foramina parietal,Q758,Q75.8,True,Alta,,Foramina parietal con hipoplasia clavicular,Q74.0,100,
945,Forma perinatal-letal de la enfermedad de Gaucher,E752,E75.2,True,Alta,,Enfermedad de Gaucher,E75.2,100,
948,Fotosensibilidad cutánea colitis letal,L578,L57.8,True,Alta,,Síndrome de fotosensibilidad cutánea-colitis letal,L57.8,100,
949,Fragilidad ósea contracturas articulares,M218,M21.8,True,Alta,,Síndrome de Bruck,M21.8,100,
950,Fructosuria,E741,E74.1,True,Alta,,Fructosuria esencial,E74.1,100,
951,Fucosidosis,E771,E77.1,True,Alta,,Fucosidosis,E77.1,100,
952,Fusión posterior de las vértebras lumbosacras - blefaroptosis,Q875,Q87.5,True,Alta,,Síndrome de fusión posterior de las vértebras lumbosacras-blefaroptosis,Q87.5,100,Código corregido de 0875 a Q875
953,Fusión vertebral anterior progresiva no infecciosa,Q878,Q87.8,True,Alta,,Fusión vertebral anterior progresiva no infecciosa,Q87.8,100,
954,Galactosemia,E742,E74.2,True,Alta,,Galactosemia,,100,
955,Gangliosidosis tipo 1,E751,E75.1,True,Alta,,Gangliosidosis,,100,
956,Gangliosidosis tipo 2,E751,E75.1,True,Alta,,Gangliosidosis,,100,
957,Gangliosidosis tipo 3,E751,E75.1,True,Alta,,Gangliosidosis,,100,
959,Gastrosquisis,Q793,Q79.3,True,Alta,,Gastrosquisis,Q79.3,100,
960,Gerodermia osteodisplástica,Q828,Q82.8,True,Alta,,Gerodermia osteodisplástica,Q82.8,100,
961,Gigantismo cerebral quistes maxilares,Q048,Q04.8,True,Alta,,Síndrome de Sotos,Q87.3,100,
962,Glaucoma - apnea del sueño,XXXX,XXXX,True,Alta,,Síndrome de glaucoma-apnea del sueño,H40.8,100,
966,Glucogenosis tipo 1,E740,E74.0,True,Alta,,Enfermedad de almacenamiento de glucógeno por deficiencia de glucosa-6-fosfatasa,E74.0,100,
967,Glucogenosis tipo 2,E740,E74.0,True,Alta,,Enfermedad de almacenamiento de glucógeno por deficiencia de maltasa ácida,E74.0,100,
968,Granuloma chalazodérmico,C840,C84.0,True,Alta,,Granuloma chalazodérmico,C84.0,100,
970,Hamartomatosis quistica de pulmón y riñon,Q858,Q85.8,True,Alta,,Neuritis óptica aislada recurrente,,100,
971,Hemangiomatosis neonatal difusa,D180,D18.0,True,Alta,,Hemangiomatosis neonatal difusa,Q82.8,100,
973,Hemicrania paroxística,G448,G44.8,True,Alta,,Hemicrania paroxística,G44.0,100,
976,Hemimelia tibial fisura labiopalatina,Q878,Q87.8,True,Alta,,Fisura labiopalatina,"Q37.0, Q37.4, Q37.5, Q37.8, Q37.9, Q37.1, Q37.2, Q37.3",100,
977,Hemiplejia alternante familiar nocturna benigna infantil,G819,G81.9,True,Alta,,Hemiplejia alternante,,100,
979,Hemoglobinuria paroxística nocturna,D595,D59.5,True,Alta,,Hemoglobinuria paroxística nocturna,D59.5,100,
982,Hendidura laringotraqueoesofágica,Q321,Q32.1,True,Alta,,Hendidura laringotraqueoesofágica,Q32.1,100,
983,Hepatitis crónica autoinmune,K754,K75.4,True,Alta,,Hepatitis autoinmune,K75.4,100,
985,Hernia diafragmática,Q790,Q79.0,True,Alta,,Hernia diafragmática congénita,Q79.0,100,Código corregido de 0790 a Q790
987,Heterotaxia,Q893,Q89.3,True,Alta,,Heterotaxia,Q89.3,100,Código corregido de 0893 a Q893
988,Hidrocefalia - displasia costoventral - anomalía de Sprengel,Q878,Q87.8,True,Alta,,Síndrome de hidrocefalia-displasia costoventral-anomalía de Sprengel,Q87.8,100,Código corregido de 0878 a Q878
990,Hidrocefalia talla alta hiperlaxitud,Q878,Q87.8,True,Alta,,Síndrome de hidrocefalia-talla alta-hiperlaxitud,Q87.8,100,Código corregido de 0878 a Q878
994,Hipercolesterolemia familiar homocigota,E780,E78.0,True,Alta,,Hipercolesterolemia familiar homocigota,E78.0,100,
995,Hiperekplexia - epilepsia,G258,G25.8,True,Alta,,Síndrome de hiperekplexia-epilepsia,G25.8,100,
998,Hiperferritinemia hereditaria con cataratas congénitas,H260,H26.0,True,Alta,,Síndrome de hiperferritinemia hereditaria-catarata,H26.0,100,
1000,Hiperinmunoglobulinemia D con fiebre recurrente,E850,E85.0,True,Alta,,Hiperinmunoglobulinemia D con fiebre periódica,E85.0,100,
1002,Hiperlipoproteinemia tipo 1,E783,E78.3,True,Alta,,Hiperlipoproteinemia tipo 1,,100,
1003,Hiperlipoproteinemia tipo 3,E782,E78.2,True,Alta,,Disbetalipoproteinemia,E78.2,100,
1005,Hiperoxaluria,E748,E74.8,True,Alta,,Hiperoxaluria primaria,E74.8,100,
1006,Hiperoxaluria primaria de tipo 1,E748,E74.8,True,Alta,,Hiperoxaluria primaria,E74.8,100,
1007,Hiperplasia regenerativa nodular,K768,K76.8,True,Alta,,Hiperplasia nodular regenerativa del hígado,K76.8,100,
1008,Hiperplasia suprarrenal congénita,E250,E25.0,True,Alta,,Hiperplasia suprarrenal congénita,E25.0,100,
1011,Hiperqueratosis palmoplantar sordera,Q828,Q82.8,True,Alta,,Síndrome de queratodermia palmoplantar-sordera,Q82.8,100,Código corregido de 0828 a Q828
1012,Hipersomnia idiopática,F511,F51.1,True,Alta,,Hipersomnia idiopática,G47.1,100,
1016,Hipertricosis cervical anterior aislada,L682,L68.2,True,Alta,,Hipertricosis cervical anterior aislada,L68.2,100,
1017,Hipertricosis cervical neuropatía,G600,G60.0,True,Alta,,Síndrome de hipertricosis cervical-neuropatía periférica,G60.0,100,
1018,Hipertricosis cubital tafia baja,Q842,Q84.2,True,Alta,,Hipertricosis cubital,Q84.2,100,Código corregido de 0842 a Q842
1021,Hipo crónico,G253,G25.3,True,Alta,,Hipo crónico,G25.8,100,
1023,Hipofosfatasia,E833,E83.3,True,Alta,,Hipofosfatasia,E83.3,100,
1026,Hipoglucemia hiperinsulinémica persistente de la infancia,E161,E16.1,True,Alta,,Hipoglucemia hiperinsulinémica,,100,
1028,Hipogonadismo hipogonadotrópico congénito,E230,E23.0,True,Alta,,Hipogonadismo hipogonadotrópico congénito,,100,
1029,Hipomagnesemia aislada dominante,E834,E83.4,True,Alta,,"Hipomagnesemia aislada autosómica dominante, tipo Glaudemans",E83.4,100,
1030,Hipomagnesemia con normocalciuria,E834,E83.4,True,Alta,,OBSOLETO: Hipomagnesemia primaria genética con normocalciuria,,100,
1031,Hipomielinización - catarata congénita,G378,G37.8,True,Alta,,Síndrome de hipomielinización-catarata congénita,G37.8,100,
1034,Hipoparatiroidismo - sordera - enfermedad renal,Q878,Q87.8,True,Alta,,Síndrome de hipoparatiroidismo-sordera neurosensorial-enfermedad renal,Q87.8,100,Código corregido de 0878 a Q878
1035,Hipoparatiroidismo familiar aislado,E208,E20.8,True,Alta,,Hipoparatiroidismo aislado familiar por deficiencia de secreción de PTH,E20.8,100,
1036,Hipoparatiroidismo familiar aislado debido a agenesia de la glándula paratiroidea,E208,E20.8,True,Alta,,Hipoparatiroidismo aislado familiar,E20.8,100,
1037,Hipoperistaltismo intestinal - microcolon - hidronefrosis,Q438,Q43.8,True,Alta,,Síndrome de megavejiga-microcolon-hipoperistaltismo intestinal,Q43.8,100,
1039,Hipopituitarismo polidactilia postaxial,Q878,Q87.8,True,Alta,,OBSOLETO: Síndrome de hipopituitarismo-polidactilia postaxial,,100,
1041,Hipoplasia dérmica focal,Q828,Q82.8,True,Alta,,Hipoplasia dérmica focal,Q82.8,100,Código corregido de 0828 a Q828
1042,Hipoplasia foveal catarata presenil,H260,H26.0,True,Alta,,Síndrome de hipoplasia foveal-catarata presenil,H26.0,100,
1043,Hipoplasia olivopontocerebelosa letal,Q043,Q04.3,True,Alta,,Hipoplasia pontocerebelosa tipo 4,Q04.3,100,Código corregido de 0043 a Q043
1045,Hipoplasia pontocerebelosa tipo 4,Q043,Q04.3,True,Alta,,Hipoplasia pontocerebelosa tipo 4,Q04.3,100,Código corregido de 0043 a Q043
1046,Hipoplasia pontocerebelosa tipo 5,Q043,Q04.3,True,Alta,,Hipoplasia pontocerebelosa tipo 5,,100,Código corregido de 0043 a Q043
1047,Hipoplasia pontocerebelosa tipo 6,Q043,Q04.3,True,Alta,,Hipoplasia pontocerebelosa tipo 6,Q04.3,100,Código corregido de 0043 a Q043
1048,Hipoplasia tiroidea,E031,E03.1,True,Alta,,Hipoplasia tiroidea,E03.1,100,
1050,Hipospadias - hipertelorismo - coloboma y sordera,Q870,Q87.0,True,Alta,,Síndrome de hipospadias-hipertelorismo-coloboma y sordera,,100,Código corregido de 0870 a Q870
1052,Hipotonia - Síndrome de cistinuria,E720,E72.0,True,Alta,,Cistinuria,E72.0,100,
1053,Hipotonia con acidemia láctica e hiperamonemia,E888,E88.8,True,Alta,,Hipotonia con acidemia láctica e hiperamonemia,E88.8,100,
1054,Hipotricosis - linfedema - telangiectasia -,XXXX,XXXX,True,Alta,,Síndrome de hipotricosis-linfedema-telangiectasia-defecto renal,Q82.0,100,
1057,Hipotricosis simple,L658,L65.8,True,Alta,,Hipotricosis simple,L65.8,100,
1060,Histidinemia,E708,E70.8,True,Alta,,Histidinemia,E70.8,100,
1061,Histiocitosis azul marino,D763,D76.3,True,Alta,,OBSOLETO: Histiocitosis azul marino,,100,
1062,Histiocitosis de células de Langerhans,C960,C96.0,True,Alta,,Histiocitosis de células de Langerhans,"C96.0, C96.5, C96.6",100,
1063,Histiocitosis progresiva mucinosa hereditaria,D763,D76.3,True,Alta,,Histiocitosis progresiva mucinosa hereditaria,D76.3,100,
1064,Histiocitosis sinusal con linfadenopatía masiva,D763,D76.3,True,Alta,,Enfermedad de Rosaï-Dorfman,D76.3,100,
1065,Holoprosencefalia,Q042,Q04.2,True,Alta,,Holoprosencefalia,Q04.2,100,Código corregido de 0042 a Q042
1067,Homocistinuria clásica por Déficit de cistationina betasintasa,E721,E72.1,True,Alta,,Homocistinuria por deficiencia de cistationina beta-sintasa,E72.1,100,
1068,Ictiosis - hepatoesplenomegalia - Degeneración cerebelosa,Q878,Q87.8,True,Alta,,Síndrome de ictiosis-hepatoesplenomegalia-degeneración cerebelosa,Q87.8,100,Código corregido de 0878 a Q878
1069,Ictiosis alopecia ectropión retraso mental,Q776,Q77.6,True,Alta,,Alopecia,,100,Código corregido de 0776 a Q776
1070,Ictiosis ampollosa de Siemens,Q808,Q80.8,True,Alta,,Ictiosis epidermolítica superficial,Q80.8,100,Código corregido de 0808 a Q808
1071,Ictiosis atresia biliar -,XXXX,XXXX,True,Alta,,Ictiosis,,100,
1072,Ictiosis congénita microcefalia cuadriplejia,Q878,Q87.8,True,Alta,,Ictiosis,,100,Código corregido de 0878 a Q878
1074,Ictiosis dedos fusiformes fisura labial media,XXXX,XXXX,True,Alta,,Ictiosis,,100,
1075,Ictiosis lamelar,Q802,Q80.2,True,Alta,,Ictiosis lamelar,Q80.2,100,Código corregido de 0802 a Q802
1076,Ictiosis ligada al cromosoma X,Q801,Q80.1,True,Alta,,Ictiosis recesiva ligada al cromosoma X,Q80.1,100,Código corregido de 0801 a Q801
1077,Ictiosis neonatal - colangitis esclerosante,XXXX,XXXX,True,Alta,,Colangitis esclerosante,,100,
1078,Ictiosis no especificada,Q809,Q80.9,True,Alta,,Ictiosis,,100,Código corregido de 0809 a Q809
1084,Inmunodeficiencia con Déficit de células natural-killer,D848,D84.8,True,Alta,,Inmunodeficiencia combinada grave por deficiencia de GINS1,D81.8,100,
1087,Inmunodeficiencia por Déficit de quinasa-4 asociado al receptor de intedeuquina-1,D848,D84.8,True,Alta,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,100,
1088,Inmunodeficiencia por Déficit selectivo de anticuerpos antipolisacáridos,D808,D80.8,True,Alta,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,100,
1090,Inmunodeficiencia primaria no especificada,D848,D84.8,True,Alta,,Inmunodeficiencia primaria,,100,
1091,Insensibilidad congénita al dolor,G908,G90.8,True,Alta,,Inmunodeficiencia combinada grave por deficiencia de DCLRE1C,D81.1,100,
1092,Insomnio fatal familiar,A818,A81.8,True,Alta,,Insomnio familiar fatal,A81.8,100,
1093,Interrupción del arco aótico,Q254,Q25.4,True,Alta,,Interrupción del arco aótico,Q25.4,100,Código corregido de 0254 a Q254
1094,Intolerancia a la fructosa,E741,E74.1,True,Alta,,Intolerancia hereditaria a la fructosa,E74.1,100,
1095,IPEX (X-LINKED),E310,E31.0,True,Alta,,Síndrome de inmunodesregulación-poliendocrinopatía-enteropatía ligada al cromosoma X,E31.0,100,
1100,Latosterolosis,Q878,Q87.8,True,Alta,,Latosterolosis,Q87.8,100,Código corregido de 0878 a Q878
1101,Leiomioma orbital,D316,D31.6,True,Alta,,Leiomioma orbital,D31.6,100,
1102,Leprechaunismo,E348,E34.8,True,Alta,,Síndrome de pseudoleprechaunismo tipo Patterson,E34.8,100,
1105,Leucodistrofia - paraplejia espástica - distonia,G114,G11.4,True,Alta,,Leucodistrofia,,100,
1106,Leucodistrofia metacromática,E752,E75.2,True,Alta,,Leucodistrofia metacromática,E75.2,100,
1107,leucodistrofia no especificada,E752,E75.2,True,Alta,,Leucodistrofia,,100,
1109,Leucoencefalopatía - condrodisplasia metafisaria,G114,G11.4,True,Alta,,Síndrome de leucoencefalopatía-displasia espondiloepimetafisaria,G37.8,100,
1113,Leucoencefalopatía con quistes anteriores y bilaterales en el lóbulo temporal,E752,E75.2,True,Alta,,Leucoencefalopatía con quistes anteriores y bilaterales en el lóbulo temporal,E75.2,100,
1117,Linfangioleiomiomatosis,J984,J98.4,True,Alta,,Linfangioleiomiomatosis,D48.7,100,
1118,Linfedema - anomalía arteriovenosa cerebral,Q820,Q82.0,True,Alta,,Síndrome de linfedema-anomalía arteriovenosa cerebral-hipertensión pulmonar primaria,Q28.3,100,Código corregido de 0820 a Q820
1120,Linfedema congénito,Q820,Q82.0,True,Alta,,Linfedema congénito primario con afectación sistémica o visceral,,100,Código corregido de 0820 a Q820
1121,Lipodistrofia familiar parcial asociada con mutaciones en PPARG,E881,E88.1,True,Alta,,Lipodistrofia parcial familiar,,100,
1123,"Lipodistrofia familiar parcial, tipo Kábberling",E881,E88.1,True,Alta,,Lipodistrofia parcial familiar tipo Köbberling,E88.1,100,
1124,Lipodistrofia generalizada adquirida,E881,E88.1,True,Alta,,Lipodistrofia generalizada adquirida,E88.1,100,
1126,Lipodistrofia parcial adquirida,E881,E88.1,True,Alta,,Lipodistrofia parcial adquirida,E88.1,100,
1130,Lipofuscinosis neuronal ceroidea juvenil,E754,E75.4,True,Alta,,Lipofuscinosis ceroidea neuronal,E75.4,100,
1131,Lipoma nasopalpebral - coloboma - telecanto,Q103,Q10.3,True,Alta,,Telecanto,,100,Código corregido de 0103 a Q103
1132,Lipomatosis encefalocraneocutánea,E882,E88.2,True,Alta,,Lipomatosis encefalocraneocutánea,E88.2,100,
1134,Lisencefalia debido a mutaciones en TUBA1A,Q043,Q04.3,True,Alta,,Lisencefalia,,100,Código corregido de 0043 a Q043
1135,Lisencefalia tipo 2,Q043,Q04.3,True,Alta,,Lisencefalia en empedrado,,100,Código corregido de 0043 a Q043
1136,Lisencefalia tipo III - displasia ósea metacarpiana,Q043,Q04.3,True,Alta,,Lisencefalia,,100,Código corregido de 0043 a Q043
1137,Lisencefalia tipo III - secuencia de aquinesia fetal familiar,Q043,Q04.3,True,Alta,,Lisencefalia,,100,Código corregido de 0043 a Q043
1138,Lóbulos gruesos de las orejas - sordera conductiva,H900,H90.0,True,Alta,,Síndrome de lóbulos gruesos de las orejas-sordera conductiva,H90.0,100,
1139,Macrocefalia - deficiencia inmunitaria - anemia,XXXX,XXXX,True,Alta,,OBSOLETO: Síndrome de macrocefalia-deficiencia inmunitaria-anemia,,100,
1140,Macrocefalia - malformación capilar,Q873,Q87.3,True,Alta,,Síndrome de megalencefalia-malformación capilar-polimicrogiria,Q87.3,100,Código corregido de 0873 a Q873
1145,"Macrotrombocitopenia con formación anómala de proplaquetas, autosómica dominante",D694,D69.4,True,Alta,,Macrotrombocitopenia autosómica dominante,D69.1,100,
1146,"Malabsorción de folato, hereditaria",D528,D52.8,True,Alta,,Malabsorción hereditaria de folato,E53.8,100,
1147,Malabsorción de glucosa-galactosa,E743,E74.3,True,Alta,,Malabsorción de glucosa-galactosa,E74.3,100,
1150,Malformación de Ebstein,Q225,Q22.5,True,Alta,,Malformación de Ebstein de la válvula tricúspide,Q22.5,100,Código corregido de 0225 a Q225
1151,Malformación linfática,D181,D18.1,True,Alta,,OBSOLETO: Malformación linfática cervicofacial,,100,
1153,Mano hendida - pie hendido,Q716,Q71.6,True,Alta,,Malformación aislada de mano hendida-pie hendido,Q74.8,100,Código corregido de 0716 a Q716
1154,Mano hendida urinarias anomalías espina bífida anomalia de diafragma,Q878,Q87.8,True,Alta,,Síndrome de Czeizel-Losonci,Q87.8,100,Código corregido de 0878 a Q878
1155,"Mano hendida, pie hendido, sordera",Q872,Q87.2,True,Alta,,Síndrome de mano hendida-pie hendido-sordera,Q87.2,100,Código corregido de 0872 a Q872
1156,Mastocitosis,Q822,Q82.2,True,Alta,,Mastocitosis,,100,Código corregido de 0822 a Q822
1157,Mastocitosis cutánea,Q822,Q82.2,True,Alta,,Mastocitosis cutánea,,100,Código corregido de 0822 a Q822
1158,Mastocitosis no especificada,Q822,Q82.2,True,Alta,,Mastocitosis,,100,Código corregido de 0822 a Q822
1159,Mastocitosis sistémica,C962,C96.2,True,Alta,,Mastocitosis sistémica,C96.2,100,
1160,Mastocitosis sistémica agresiva,C962,C96.2,True,Alta,,Mastocitosis sistémica agresiva,C96.2,100,
1161,Mastocitosis sistémica indolente,D470,D47.0,True,Alta,,Mastocitosis sistémica indolente,D47.0,100,
1162,"Megacalicosis, congénita",Q638,Q63.8,True,Alta,,Megacalicosis congénita,Q63.8,100,Código corregido de 0638 a Q638
1163,Megalencefalia - polimicrogiria - polidactina postaxial - hidrocefalia,Q048,Q04.8,True,Alta,,Polimicrogiria,,100,Código corregido de 0048 a Q048
1154,Melorreostosis,Q782,Q78.2,True,Alta,,Melorreostosis,M85.8,100,Código corregido de 0782 a Q782
1165,Metacondromatosis,Q784,Q78.4,True,Alta,,Metacondromatosis,Q78.4,100,Código corregido de 0784 a Q784
1166,Metahemoglobinemia hereditaria recesiva de tipo 2,D740,D74.0,True,Alta,,Metahemoglobinemia hereditaria,D74.0,100,
1167,Miastenia grave,G700,G70.0,True,Alta,,Miastenia grave,G70.0,100,
1168,Microbraquicefalia ptosis fisura labial,Q878,Q87.8,True,Alta,,Síndrome de microbraquicefalia-ptosis-fisura labial,Q87.8,100,Código corregido de 0878 a Q878
1171,Microcefalia - polimicrogiria- agenesia del cuerpo calloso,Q043,Q04.3,True,Alta,,Síndrome de microcefalia-polimicrogiria-agenesia del cuerpo calloso,Q04.3,100,Código corregido de 0043 a Q043
1172,Microcefalia braquidactilia cifoescoliosis,Q878,Q87.8,True,Alta,,Síndrome de microcefalia-braquidactilia-cifoescoliosis,Q87.8,100,Código corregido de 0878 a Q878
1177,Microdeleción 9q22.3,Q935,Q93.5,True,Alta,,Síndrome de monosomía 9q22.3,Q93.5,100,Código corregido de 0935 a Q935
1178,Microftalmia - atrofia cerebral,Q112,Q11.2,True,Alta,,Síndrome de microftalmia-atrofia cerebral,Q11.2,100,Código corregido de 0112 a Q112
1180,Microftalmia con anomalías de las extremidades,Q112,Q11.2,True,Alta,,Microftalmia con anomalías de las extremidades,Q87.2,100,Código corregido de 0112 a Q112
1181,Microftalmia sindrómica debido a una mutación en OTX2,Q112,Q11.2,True,Alta,,Microftalmia-anoftalmia-coloboma sindrómicos,,100,Código corregido de 0112 a Q112
1183,Microtia,Q172,Q17.2,True,Alta,,Microtia,Q17.2,100,Código corregido de 0172 a Q172
1184,Microtia - coloboma - imperforación del conducto nasolacrimal,Q158,Q15.8,True,Alta,,Microtia,Q17.2,100,Código corregido de 0158 a Q158
1185,Microtia anomalías esqueléticas talla baja,Q871,Q87.1,True,Alta,,Microtia,Q17.2,100,Código corregido de 0871 a Q871
1186,Microtia bilateral - sordera - paladar hendido,Q870,Q87.0,True,Alta,,Paladar hendido,Q35,100,Código corregido de 0870 a Q870
1189,Migraña hemipléjica familiar o esporádica,G431,G43.1,True,Alta,,Migraña hemipléjica familiar o esporádica,G43.1,100,
1191,Miocardiopatía restrictiva aislada familiar,1425,1425,True,Alta,,Miocardiopatía restrictiva familiar,,100,
1196,Miofascitis macrofágica,M608,M60.8,True,Alta,,Miofascitis macrofágica,M60.8,100,
1207,Distrofia miotónica tipo 2,G711,G71.1,True,Alta,,Miopatía miotónica proximal,G71.1,100,
1208,Miopatia mitocondrial con anemia sideroblástica,G713,G71.3,True,Alta,,Anemia sideroblástica,,100,
1212,Miopatía tibial de Udd,G710,G71.0,True,Alta,,Distrofia muscular tibial,G71.0,100,
1215,Miositis focal,M608,M60.8,True,Alta,,Miositis focal,M60.8,100,
1220,MSMD (Deficiencia IFN-yR1),D848,D84.8,True,Alta,,Susceptibilidad mendeliana a enfermedades micobacterianas,,100,
1221,MSMD (Deficiencia IFN-yR2 ),Q848,Q84.8,True,Alta,,Susceptibilidad mendeliana a enfermedades micobacterianas,,100,Código corregido de 0848 a Q848
1222,MSMD (Deficiencia STAT1),D848,D84.8,True,Alta,,Susceptibilidad mendeliana a enfermedades micobacterianas por deficiencia parcial del STAT1,D84.8,100,
1223,MSMD (IL-12p40),D848,D84.8,True,Alta,,Susceptibilidad mendeliana a enfermedades micobacterianas,,100,
1224,MSMD (IL12RB),D848,D84.8,True,Alta,,Susceptibilidad mendeliana a enfermedades micobacterianas,,100,
1225,Mucolipidosis no especificada,E779,E77.9,True,Alta,,Mucolipidosis,,100,
1226,Mucolipidosis tipo 2,E770,E77.0,True,Alta,,Mucolipidosis,,100,
1227,Mucolipidosis tipo 4,E751,E75.1,True,Alta,,Mucolipidosis,,100,
1228,Mucopolisacaridosis no especificada,E763,E76.3,True,Alta,,Mucopolisacaridosis,,100,
1229,Mucopolisacaridosis tipo 2,E761,E76.1,True,Alta,,Mucopolisacaridosis tipo 2,E76.1,100,
1230,Mucopolisacaridosis tipo 3,E762,E76.2,True,Alta,,Mucopolisacaridosis tipo 3,E76.2,100,
1231,Mucopolisacaridosis tipo 4,E762,E76.2,True,Alta,,Mucopolisacaridosis tipo 4,E76.2,100,
1232,Mucopolisacaridosis tipo 6,E762,E76.2,True,Alta,,Mucopolisacaridosis tipo 6,E76.2,100,
1233,Mucopolisacaridosis tipo 7,E762,E76.2,True,Alta,,Mucopolisacaridosis tipo 7,E76.2,100,
1234,Mucosulfatidosis,E752,E75.2,True,Alta,,Deficiencia múltiple de sulfatasas,E75.2,100,
